"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 00:00","2022","02","01","00:00"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 01:00","2022","02","01","01:00"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 02:00","2022","02","01","02:00"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 03:00","2022","02","01","03:00"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 04:00","2022","02","01","04:00"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 05:00","2022","02","01","05:00"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 06:00","2022","02","01","06:00"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 07:00","2022","02","01","07:00","-4.2","","-11.0","","59","","","","17","","23","","19.3","","101.34","","","","-11","","Mainly Clear"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 08:00","2022","02","01","08:00","-4.7","","-10.7","","63","","","","18","","22","","19.3","","101.41","","","","-12","","NA"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 09:00","2022","02","01","09:00","-3.2","","-9.8","","61","","","","17","","22","","19.3","","101.35","","","","-10","","NA"
"-79.17","43.19","ST. CATHARINES / NIAGARA DISTRICT A","6137286","2022-02-01 10:00","2022","02","01","10:00","-2.3","","-9.3","","59","","","","17","","23","","19.3","","101.26","","","","-9","","Cloudy"
